file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\routes\+page.svelte,11,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,22
src\routes\+page.svelte,12,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,0
src\routes\+page.svelte,13,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,53
src\routes\+page.svelte,14,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,0
src\routes\+page.svelte,15,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,148
src\routes\+page.svelte,16,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,185
src\routes\+page.svelte,17,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,97
src\routes\+page.svelte,18,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,162
src\routes\+page.svelte,19,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,3
src\routes\+page.svelte,20,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,53
src\routes\+page.svelte,21,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,22
src\routes\+page.svelte,22,svelte,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,0,15
